,id,host_since,city_y,property_type,year
1788,13623257,2014-11-11,Los Angeles,Loft,2014
10272,6908178,2014-11-11,Los Angeles,House,2014
15464,14281824,2014-11-11,Venice,House,2014
7260,6759818,2014-11-11,North Hollywood,House,2014
10119,15318231,2014-11-11,North Hollywood,Apartment,2014
18430,4900356,2014-11-11,Los Angeles,Apartment,2014
17271,18288952,2014-11-11,Los Angeles,Apartment,2014
12840,4587349,2014-11-11,Los Angeles,Apartment,2014
22122,4278067,2014-11-11,Los Angeles,House,2014
3819,1519621,2014-11-11,Los Angeles,Townhouse,2014
7094,4636240,2014-11-12,Hermosa Beach,House,2014
19020,13432549,2014-11-12,Los Angeles,Apartment,2014
4588,14022330,2014-11-12,Hermosa Beach,Apartment,2014
14284,14860539,2014-11-12,Hermosa Beach,Apartment,2014
14158,1269738,2014-11-12,Los Angeles,Apartment,2014
7341,7710101,2014-11-12,Los Angeles,Apartment,2014
7866,18376369,2014-11-12,Los Angeles,Apartment,2014
